OBJECTID,ntd_id,shape_id,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_type_text,route_url,route_color,route_color_formatted,route_text_color,route_text_color_formatted,download_date,Shape__Length
34784,40022,124162,23590,MARTA,25,Peachtree Boulevard,,3,Bus,https://itsmarta.com/25.aspx,ff00ff,"(255, 0, 255)",0,"(0, 0, 0)",12/02/2024,0.102667502127287
34785,40022,124163,23590,MARTA,25,Peachtree Boulevard,,3,Bus,https://itsmarta.com/25.aspx,ff00ff,"(255, 0, 255)",0,"(0, 0, 0)",12/02/2024,0.103019156431229
34786,40022,124168,23592,MARTA,27,Cheshire Bridge Road,,3,Bus,https://itsmarta.com/27.aspx,ff0080,"(255, 0, 128)",0,"(0, 0, 0)",12/02/2024,0.0888057672707251
34787,40022,124169,23592,MARTA,27,Cheshire Bridge Road,,3,Bus,https://itsmarta.com/27.aspx,ff0080,"(255, 0, 128)",0,"(0, 0, 0)",12/02/2024,0.0900305034964426
34788,40022,124170,23593,MARTA,30,LaVista Road,,3,Bus,https://itsmarta.com/30.aspx,00ff00,"(0, 255, 0)",0,"(0, 0, 0)",12/02/2024,0.163738933668662
34789,40022,124171,23593,MARTA,30,LaVista Road,,3,Bus,https://itsmarta.com/30.aspx,00ff00,"(0, 255, 0)",0,"(0, 0, 0)",12/02/2024,0.160211068526796
34790,40022,124172,23594,MARTA,32,Bouldercrest,,3,Bus,https://itsmarta.com/32.aspx,00ff00,"(0, 255, 0)",0,"(0, 0, 0)",12/02/2024,0.195370468737512
34791,40022,124173,23594,MARTA,32,Bouldercrest,,3,Bus,https://itsmarta.com/32.aspx,00ff00,"(0, 255, 0)",0,"(0, 0, 0)",12/02/2024,0.195386889339837
34792,40022,124174,23595,MARTA,34,Gresham Road,,3,Bus,https://itsmarta.com/34.aspx,ff00ff,"(255, 0, 255)",0,"(0, 0, 0)",12/02/2024,0.137387254816353
34793,40022,124175,23595,MARTA,34,Gresham Road,,3,Bus,https://itsmarta.com/34.aspx,ff00ff,"(255, 0, 255)",0,"(0, 0, 0)",12/02/2024,0.123056276260537
34794,40022,124176,23595,MARTA,34,Gresham Road,,3,Bus,https://itsmarta.com/34.aspx,ff00ff,"(255, 0, 255)",0,"(0, 0, 0)",12/02/2024,0.115785800571877
34795,40022,124177,23595,MARTA,34,Gresham Road,,3,Bus,https://itsmarta.com/34.aspx,ff00ff,"(255, 0, 255)",0,"(0, 0, 0)",12/02/2024,0.137643743053225
34796,40022,124178,23595,MARTA,34,Gresham Road,,3,Bus,https://itsmarta.com/34.aspx,ff00ff,"(255, 0, 255)",0,"(0, 0, 0)",12/02/2024,0.123312710303541
34797,40022,124179,23595,MARTA,34,Gresham Road,,3,Bus,https://itsmarta.com/34.aspx,ff00ff,"(255, 0, 255)",0,"(0, 0, 0)",12/02/2024,0.116394840688324
34798,40022,124180,23596,MARTA,36,N Decatur Road / Virginia Highland,,3,Bus,https://itsmarta.com/36.aspx,a6caf0,"(166, 202, 240)",0,"(0, 0, 0)",12/02/2024,0.152912271724011
34799,40022,124181,23596,MARTA,36,N Decatur Road / Virginia Highland,,3,Bus,https://itsmarta.com/36.aspx,a6caf0,"(166, 202, 240)",0,"(0, 0, 0)",12/02/2024,0.151835247314585
34800,40022,124182,23597,MARTA,37,Defoors Ferry Road,,3,Bus,https://itsmarta.com/37.aspx,00ff80,"(0, 255, 128)",0,"(0, 0, 0)",12/02/2024,0.108095364738299
34801,40022,124183,23597,MARTA,37,Defoors Ferry Road,,3,Bus,https://itsmarta.com/37.aspx,00ff80,"(0, 255, 128)",0,"(0, 0, 0)",12/02/2024,0.0998215065192069
34802,40022,124184,23598,MARTA,39,Buford Highway,,3,Bus,https://itsmarta.com/39.aspx,008000,"(0, 128, 0)",0,"(0, 0, 0)",12/02/2024,0.135469088110715
34803,40022,124185,23598,MARTA,39,Buford Highway,,3,Bus,https://itsmarta.com/39.aspx,008000,"(0, 128, 0)",0,"(0, 0, 0)",12/02/2024,0.136016033571878
34804,40022,124186,23599,MARTA,40,Peachtree Street / Downtown,,3,Bus,https://itsmarta.com/40.aspx,ffff00,"(255, 255, 0)",0,"(0, 0, 0)",12/02/2024,0.0849205427315207
